PK_UID,Trip_ID,Trip_Start_Timestamp,Trip_End_Timestamp,Trip_Seconds,Trip_Miles,Percent_Time_Chicago,Percent_Distance_Chicago,Pickup_Census_Tract,Dropoff_Census_Tract,Pickup_Community_Area,Dropoff_Community_Area,Fare,Tip,Additional_Charges,Trip_Total,Shared_Trip_Authorized,Shared_Trip_Match,Trips_Pooled,Pickup_Centroid_Latitude,Pickup_Centroid_Longitude,Pickup_Centroid_Location,Dropoff_Centroid_Latitude,Dropoff_Centroid_Longitude,Dropoff_Centroid_Location
628669,257968d61bdd52bfcabf48d143c7b8606deda46a,06/28/2024 06:45:00 PM,06/28/2024 07:30:00 PM,2949,17.400000,1,1,17031081700,17031980000,8,76,47.500000,0,14.880000,62.380000,false,false,1,41.892042,-87.631864,POINT (-87.6318639497 41.8920421365),41.979071,-87.903040,POINT (-87.9030396611 41.9790708201)
6088858,8f75bac382a9bbdf3c0091161393af27134500af,06/06/2024 11:00:00 PM,06/06/2024 11:30:00 PM,1941,10.100000,1,1,17031161300,17031081401,16,8,10.000000,0,1.700000,11.700000,true,true,3,41.942700,-87.731002,POINT (-87.7310024842 41.9426995777),41.895033,-87.619711,POINT (-87.6197106717 41.8950334495)
894638,2a7c3200e91c9fc5781b1d02118d5965a5cf9bb9,06/27/2024 06:30:00 PM,06/27/2024 06:45:00 PM,1443,6.900000,1,1,17031081800,17031060400,8,6,30.000000,6,2.980000,38.980000,false,false,1,41.893216,-87.637844,POINT (-87.6378442095 41.8932163595),41.950673,-87.666536,POINT (-87.6665362813 41.9506733576)
4710335,6bd49b80757c8d1b25a5a640fecf6427f516c0c4,06/12/2024 11:15:00 AM,06/12/2024 11:15:00 AM,383,1.500000,1,1,,,23,24,7.500000,0,2.320000,9.820000,false,false,1,41.900070,-87.720918,POINT (-87.7209182385 41.9000696026),41.901207,-87.676356,POINT (-87.6763559892 41.9012069941)
4673296,c388ef9becd3fa88a3e09223ffe34cc42d32f270,06/12/2024 02:30:00 PM,06/12/2024 02:45:00 PM,995,4.200000,1,1,,,30,23,20.000000,0,1.230000,21.230000,false,false,1,41.839087,-87.714004,POINT (-87.714003807 41.8390869059),41.900070,-87.720918,POINT (-87.7209182385 41.9000696026)
458018,6f0ca0b19cc5bb8eaa0df571d9249d153002c976,06/29/2024 10:15:00 AM,06/29/2024 10:15:00 AM,353,0.800000,1,1,17031831900,17031062700,6,6,5.000000,0,2.160000,7.160000,false,false,1,41.945170,-87.668794,POINT (-87.6687944391 41.9451704528),41.936087,-87.666111,POINT (-87.6661106945 41.9360865352)
6708999,7f573dadb682deb6ca40ad64298d9af2e40f7432,06/04/2024 10:45:00 AM,06/04/2024 11:15:00 AM,1664,17.400000,1,1,,,,32,20.000000,0,5.180000,25.180000,false,false,1,,,,41.878866,-87.625192,POINT (-87.6251921424 41.8788655841)
64579,0ab4adecf6e5a77b7af28a66b56bb7238f5602f9,06/30/2024 04:30:00 PM,06/30/2024 04:45:00 PM,1108,5.100000,1,1,,,,24,10.000000,2,4.760000,16.760000,false,false,1,,,,41.901207,-87.676356,POINT (-87.6763559892 41.9012069941)
6827220,fba18989cd697213c6fed0ee30740d739f5b650d,06/03/2024 06:30:00 PM,06/03/2024 07:15:00 PM,2133,15.300000,1,1,,,33,70,17.500000,0,3.740000,21.240000,true,true,3,41.857184,-87.620335,POINT (-87.6203346241 41.8571838585),41.745758,-87.708366,POINT (-87.7083657043 41.7457577128)
5135546,d670d676adcae0061a89090e132cf27663fcff53,06/10/2024 10:45:00 AM,06/10/2024 11:45:00 AM,3580,37.800000,0,0,,17031839100,,32,42.500000,7,5.430000,54.930000,false,false,1,,,,41.880994,-87.632746,POINT (-87.6327464887 41.8809944707)
4935366,160d3c27f1cb24315847f64a14d58919dbad4991,06/11/2024 10:30:00 AM,06/11/2024 10:45:00 AM,409,1.600000,1,1,,,38,39,5.000000,3,1.100000,9.100000,true,false,1,41.812949,-87.617860,POINT (-87.6178596758 41.8129489392),41.808916,-87.596183,POINT (-87.5961833442 41.8089162826)
2943911,e300f245b21aa717bf15be0029cca9e95801cb35,06/19/2024 04:15:00 PM,06/19/2024 04:45:00 PM,1250,5.300000,1,1,,,58,68,10.000000,3,5.460000,18.460000,false,false,1,41.817366,-87.698861,POINT (-87.6988607973 41.8173662079),41.777196,-87.642498,POINT (-87.6424975271 41.7771962546)
5105072,9294b2e8e72ddd3bc765cc2ab17430f89b5b4d28,06/10/2024 01:45:00 PM,06/10/2024 02:00:00 PM,1425,8.800000,1,1,17031040402,17031320100,4,32,20.000000,4,2.980000,26.980000,false,false,1,41.972563,-87.678846,POINT (-87.6788459662 41.9725625375),41.884987,-87.620993,POINT (-87.6209929134 41.8849871918)
1079412,70bc2897dfedaab8bdfeb0d294c5064d673d3a78,06/26/2024 10:15:00 PM,06/26/2024 10:30:00 PM,908,3.600000,1,1,,,5,21,7.500000,2,1.180000,10.680000,true,true,2,41.947792,-87.683835,POINT (-87.6838349425 41.9477915865),41.938666,-87.711211,POINT (-87.7112105933 41.9386661962)
235280,d38b18555e45b32c511ec855cbcd7aed0d2c1141,06/29/2024 11:15:00 PM,06/29/2024 11:30:00 PM,592,1.400000,1,1,17031833000,17031081800,28,8,25.000000,0,2.940000,27.940000,false,false,1,41.885281,-87.657233,POINT (-87.6572331997 41.8852813201),41.893216,-87.637844,POINT (-87.6378442095 41.8932163595)
5835013,2dc24455b1cb08183b256c5ba4e7b6bfe1f447f9,06/07/2024 09:45:00 PM,06/07/2024 09:45:00 PM,421,1.200000,1,1,17031070101,17031062900,7,6,7.500000,0,2.820000,10.320000,false,false,1,41.929263,-87.635891,POINT (-87.6358909539 41.9292629902),41.936237,-87.656412,POINT (-87.6564115308 41.9362371791)
5647607,d2ed11fab6a5356b9bc0600b733f8ead5893597a,06/08/2024 02:45:00 PM,06/08/2024 03:30:00 PM,2185,17.900000,1,1,,,51,8,25.000000,0,5.750000,30.750000,false,false,1,41.690633,-87.570058,POINT (-87.5700582686 41.6906333472),41.899602,-87.633308,POINT (-87.6333080367 41.899602111)
7328504,f14db622bac21fc41725c92cd5280808d91f558c,06/01/2024 08:00:00 PM,06/01/2024 08:30:00 PM,1725,12.200000,1,1,,,48,32,17.500000,0,8.210000,25.710000,false,false,1,41.729676,-87.572717,POINT (-87.5727171342 41.7296764229),41.878866,-87.625192,POINT (-87.6251921424 41.8788655841)
63509,62d9dd22aa5ad3da7ddec23f378efac438480e53,06/30/2024 04:30:00 PM,06/30/2024 05:00:00 PM,1312,4.300000,1,1,17031063000,17031160700,6,16,25.000000,0,3.710000,28.710000,false,false,1,41.936310,-87.651563,POINT (-87.6515625922 41.9363101308),41.950404,-87.702007,POINT (-87.7020071282 41.9504044107)
7019544,fa4f465bc0b1b5680629d5708fcfe14bde378cf4,06/02/2024 09:15:00 PM,06/02/2024 09:30:00 PM,541,1.800000,1,1,17031030604,17031020902,77,2,10.000000,0,1.230000,11.230000,false,false,1,41.985472,-87.653794,POINT (-87.6537935286 41.9854724225),41.994266,-87.678688,POINT (-87.6786882109 41.9942660943)
6729711,b0d46562cd26ae11e9090b438fad1eb4f326783d,06/04/2024 09:00:00 AM,06/04/2024 09:45:00 AM,2579,15.400000,1,1,17031081403,17031810501,8,,45.000000,0,2.980000,47.980000,false,false,1,41.890922,-87.618868,POINT (-87.6188683546 41.8909220259),,,
4450540,1333f7d02014ed0e5d9be7f283c0db56dd4e6b0e,06/13/2024 01:45:00 PM,06/13/2024 02:15:00 PM,1342,9.100000,1,1,,,,46,12.500000,0,3.300000,15.800000,false,false,1,,,,41.741243,-87.551428,POINT (-87.551428197 41.7412427285)
5799955,95a6161424d027a65f51f0732a04fee49b590030,06/07/2024 11:30:00 PM,06/07/2024 11:45:00 PM,674,1.900000,1,1,17031221300,17031241500,22,24,7.500000,0,1.230000,8.730000,false,false,1,41.921126,-87.699754,POINT (-87.6997544065 41.9211259143),41.908379,-87.670945,POINT (-87.6709450752 41.9083786693)
7262572,f016ce0ee3ee2d56522a07000aea750024511547,06/01/2024 11:15:00 PM,06/01/2024 11:30:00 PM,970,3.000000,1,1,17031081700,17031242200,8,24,50.000000,0,1.230000,51.230000,false,false,1,41.892042,-87.631864,POINT (-87.6318639497 41.8920421365),41.899590,-87.674719,POINT (-87.6747191345 41.8995897957)
380803,c7799f768e2a6fc2c4bd8d2a0f33838b11fcea88,06/29/2024 03:30:00 PM,06/29/2024 04:30:00 PM,3488,37.400000,1,1,,,7,,52.500000,12,8.070000,72.570000,false,false,1,41.922686,-87.649489,POINT (-87.6494887289 41.9226862843),,,
5177162,a245eaba1fcbe7d867d6492529e0d3afa9880ca7,06/10/2024 07:00:00 AM,06/10/2024 07:45:00 AM,2246,17.100000,0,0,,,,56,35.000000,7,27.380000,69.380000,false,false,1,,,,41.792592,-87.769615,POINT (-87.7696154528 41.7925923603)
95450,257b16172b1954c0a2b624506c2a4497961f9242,06/30/2024 02:00:00 PM,06/30/2024 02:15:00 PM,694,1.800000,1,1,17031081403,17031839000,8,32,7.500000,0,2.920000,10.420000,false,false,1,41.890922,-87.618868,POINT (-87.6188683546 41.8909220259),41.871016,-87.631407,POINT (-87.6314065252 41.8710158803)
3987809,dfcac799e74c6b82d7cea5c77f212f470726c574,06/15/2024 03:15:00 AM,06/15/2024 03:15:00 AM,653,2.700000,1,1,17031062000,17031842200,6,8,10.000000,0,4.090000,14.090000,false,false,1,41.942577,-87.647079,POINT (-87.6470785093 41.942577185),41.904935,-87.649907,POINT (-87.6499072264 41.9049353016)
4420671,7ac5317d089adcaade2dda8e2cb538718bb739ce,06/13/2024 04:00:00 PM,06/13/2024 04:15:00 PM,1132,4.800000,1,1,,,44,41,17.500000,0,1.230000,18.730000,false,false,1,41.740206,-87.615970,POINT (-87.6159695226 41.7402057565),41.794090,-87.592311,POINT (-87.592310855 41.794090253)
7479710,69b6460535f62c791d0efed575d8ed24e81fe28d,06/01/2024 12:15:00 PM,06/01/2024 12:15:00 PM,143,0.400000,1,1,17031081401,17031081402,8,8,5.000000,0,1.230000,6.230000,false,false,1,41.895033,-87.619711,POINT (-87.6197106717 41.8950334495),41.891972,-87.612945,POINT (-87.6129454143 41.8919715078)
3305239,1254b59a37101bebae5dbc1ffeb46b3ff97836f7,06/17/2024 10:15:00 PM,06/17/2024 10:30:00 PM,1477,19.100000,1,1,17031980000,,76,,32.500000,0,7.730000,40.230000,false,false,1,41.979071,-87.903040,POINT (-87.9030396611 41.9790708201),,,
3403065,d0532bd026f04ea64a69c7129b7c048b1d17cfa4,06/17/2024 12:45:00 PM,06/17/2024 01:15:00 PM,1333,8.500000,1,1,,,44,67,15.000000,0,2.480000,17.480000,true,true,2,41.740206,-87.615970,POINT (-87.6159695226 41.7402057565),41.775929,-87.666596,POINT (-87.6665962653 41.7759288274)
6757317,6e3915f0a5d11efbd4c8aa94d4bcfe9f5e8c8d56,06/04/2024 06:30:00 AM,06/04/2024 06:45:00 AM,650,3.600000,1,1,,,7,8,15.000000,3,5.990000,23.990000,false,false,1,41.922686,-87.649489,POINT (-87.6494887289 41.9226862843),41.899602,-87.633308,POINT (-87.6333080367 41.899602111)
1890140,2599a772a14065ebf00ce96bd90dcef0dd627149,06/23/2024 11:00:00 AM,06/23/2024 11:30:00 AM,1445,11.100000,1,1,17031980100,17031839100,56,32,75.000000,0,8.880000,83.880000,false,false,1,41.785999,-87.750934,POINT (-87.7509342894 41.785998518),41.880994,-87.632746,POINT (-87.6327464887 41.8809944707)
5243921,329ef424c3f691d8a58ed42c092e9d428992dfc8,06/09/2024 08:45:00 PM,06/09/2024 09:00:00 PM,857,5.800000,1,1,,,24,16,15.000000,0,1.230000,16.230000,false,false,1,41.901207,-87.676356,POINT (-87.6763559892 41.9012069941),41.953582,-87.723452,POINT (-87.7234523905 41.9535821253)
2321125,8bca41c0b15177fa125197296945a7fc291e9a6b,06/21/2024 11:30:00 PM,06/21/2024 11:45:00 PM,1398,8.900000,1,1,17031836200,17031839000,41,32,12.500000,0,2.890000,15.390000,true,true,2,41.790469,-87.601285,POINT (-87.6012851221 41.7904693995),41.871016,-87.631407,POINT (-87.6314065252 41.8710158803)
2935083,6ee3c09c487196b0c163110b3b8aa1163d89a3d4,06/19/2024 05:00:00 PM,06/19/2024 05:15:00 PM,507,0.700000,1,1,17031081300,17031081500,8,8,15.000000,4,5.140000,24.140000,false,false,1,41.898332,-87.620763,POINT (-87.6207628651 41.8983317935),41.892508,-87.626215,POINT (-87.6262149064 41.8925077809)
602103,84fce60f5e9898a32f392fec7d7279bb951028fe,06/28/2024 08:00:00 PM,06/28/2024 08:00:00 PM,616,2.000000,1,1,17031243300,17031081700,24,8,15.000000,0,5.330000,20.330000,false,false,1,41.892493,-87.664746,POINT (-87.6647458359 41.8924931672),41.892042,-87.631864,POINT (-87.6318639497 41.8920421365)
2312828,7b17bbd8fb7f40760aa72ab65bec71154a1da336,06/22/2024 12:00:00 AM,06/22/2024 12:15:00 AM,1352,8.000000,1,1,17031030900,17031833100,77,28,17.500000,0,1.230000,18.730000,false,false,1,41.979796,-87.671446,POINT (-87.6714455473 41.9797955506),41.879067,-87.657005,POINT (-87.657005027 41.8790669938)
1634677,df252f4083afdeb5d31a89fb9a78946ad26b072d,06/24/2024 01:00:00 PM,06/24/2024 02:00:00 PM,3357,17.900000,1,1,17031980000,17031081401,76,8,27.500000,5,7.110000,39.610000,false,false,1,41.979071,-87.903040,POINT (-87.9030396611 41.9790708201),41.895033,-87.619711,POINT (-87.6197106717 41.8950334495)
1832444,30ff03fc7d44d9a43f868f241f7545d47ad34629,06/23/2024 03:30:00 PM,06/23/2024 04:00:00 PM,1080,3.100000,1,1,17031320100,17031071400,32,7,15.000000,0,2.990000,17.990000,false,false,1,41.884987,-87.620993,POINT (-87.6209929134 41.8849871918),41.922083,-87.634156,POINT (-87.6341560931 41.922082541)
2173443,23c3329896f7434c9d3b68173b2b2d2bdb42936b,06/22/2024 02:15:00 PM,06/22/2024 02:30:00 PM,1196,5.300000,1,1,,,58,,15.000000,0,4.540000,19.540000,false,false,1,41.817366,-87.698861,POINT (-87.6988607973 41.8173662079),,,
3657350,ba8830dc692d2b222f22d6be1d4c268088a3f01e,06/16/2024 07:15:00 AM,06/16/2024 07:30:00 AM,605,2.400000,1,1,,,67,61,12.500000,3,4.400000,19.900000,false,false,1,41.775929,-87.666596,POINT (-87.6665962653 41.7759288274),41.809018,-87.659167,POINT (-87.6591665992 41.8090182499)
6978514,c53fbc9dede5c1e53ddde63df122c2a5211e0e12,06/03/2024 02:45:00 AM,06/03/2024 03:00:00 AM,869,5.400000,1,1,,,6,1,12.500000,0,4.620000,17.120000,false,false,1,41.944227,-87.655998,POINT (-87.6559981815 41.9442266014),42.009623,-87.670167,POINT (-87.6701668569 42.0096228806)
5386728,ab83304880022faf1aa830bf1a66153788e32fcb,06/09/2024 09:45:00 AM,06/09/2024 10:30:00 AM,2736,34.900000,1,1,,17031980000,,76,67.500000,10,7.710000,85.210000,false,false,1,,,,41.979071,-87.903040,POINT (-87.9030396611 41.9790708201)
1278514,0b428726207e1fb0402c87bc176645aaa9dc16dc,06/26/2024 05:00:00 AM,06/26/2024 05:15:00 AM,1348,9.900000,1,0,,,19,,15.000000,0,4.030000,19.030000,false,false,1,41.927261,-87.765502,POINT (-87.7655016086 41.9272609555),,,
4658231,c195fa4bc178c6fde4bee3800052fae6d19c00bf,06/12/2024 03:45:00 PM,06/12/2024 04:00:00 PM,850,2.200000,1,1,17031081100,17031833000,8,28,15.000000,0,4.850000,19.850000,false,false,1,41.900221,-87.629105,POINT (-87.6291051864 41.9002212967),41.885281,-87.657233,POINT (-87.6572331997 41.8852813201)
2302406,f8ac9931a23429a610034533abd4e6db32113f09,06/22/2024 12:30:00 AM,06/22/2024 12:45:00 AM,407,0.900000,1,1,17031220500,17031220902,22,22,7.500000,3,1.230000,11.730000,false,false,1,41.928391,-87.704907,POINT (-87.7049072355 41.9283913974),41.922712,-87.721836,POINT (-87.7218357934 41.9227117587)
222499,8007b9e3b74813ea59d621f3a56e5879a1e13c66,06/30/2024 12:00:00 AM,06/30/2024 12:15:00 AM,801,2.000000,1,1,17031080300,17031063301,8,6,10.000000,0,3.790000,13.790000,false,false,1,41.907492,-87.635760,POINT (-87.6357600901 41.9074919303),41.934540,-87.643023,POINT (-87.6430228044 41.9345397158)
3467430,5d1a8706e103e6a013becfbe8464321498fbcc5f,06/17/2024 06:15:00 AM,06/17/2024 06:15:00 AM,387,1.400000,1,1,,,69,68,15.000000,0,1.230000,16.230000,false,false,1,41.763247,-87.616134,POINT (-87.6161341112 41.7632467988),41.777196,-87.642498,POINT (-87.6424975271 41.7771962546)
6111273,e66b242095c9cc19af640188331f8a4acda8b55b,06/06/2024 09:15:00 PM,06/06/2024 09:30:00 PM,981,3.600000,1,1,17031071500,17031050600,7,5,12.500000,0,3.620000,16.120000,false,false,1,41.914616,-87.631717,POINT (-87.6317173661 41.9146162864),41.950546,-87.676182,POINT (-87.6761824959 41.9505456965)
102825,d111231e24577f09c1aefc66b8510eadf7bc04eb,06/30/2024 01:15:00 PM,06/30/2024 01:30:00 PM,298,0.900000,1,1,,,28,28,7.500000,0,3.250000,10.750000,false,false,1,41.874005,-87.663518,POINT (-87.6635175498 41.874005383),41.874005,-87.663518,POINT (-87.6635175498 41.874005383)
2821063,df39fde26b132ff7be4840ada3c031107f4e97cf,06/20/2024 06:30:00 AM,06/20/2024 06:45:00 AM,690,2.000000,1,1,17031081401,17031839100,8,32,12.500000,0,2.980000,15.480000,false,false,1,41.895033,-87.619711,POINT (-87.6197106717 41.8950334495),41.880994,-87.632746,POINT (-87.6327464887 41.8809944707)
4394815,b8bf5dd1704f7a6e05bee6c45a0f49feea014df2,06/13/2024 05:45:00 PM,06/13/2024 06:00:00 PM,844,3.200000,1,1,17031040402,17031062100,4,6,22.500000,0,3.670000,26.170000,false,false,1,41.972563,-87.678846,POINT (-87.6788459662 41.9725625375),41.942692,-87.651771,POINT (-87.6517705068 41.9426918444)
5756544,420ed07117f7cca50d5448ce0f2b1d1d69418f91,06/08/2024 03:15:00 AM,06/08/2024 03:15:00 AM,419,0.700000,1,1,17031081800,17031081600,8,8,10.000000,0,2.680000,12.680000,false,false,1,41.893216,-87.637844,POINT (-87.6378442095 41.8932163595),41.892073,-87.628874,POINT (-87.6288741572 41.8920726347)
4622517,325ac450d6a0c3dcc2b3243d6be4823d0eb9e205,06/12/2024 06:30:00 PM,06/12/2024 07:00:00 PM,1531,5.500000,1,1,17031071500,17031060200,7,6,15.000000,0,4.310000,19.310000,false,false,1,41.914616,-87.631717,POINT (-87.6317173661 41.9146162864),41.957904,-87.671518,POINT (-87.671518011 41.9579038971)
7381722,6c03cbcb44167bd7e1084f793c00fd0b23bc57e1,06/01/2024 05:45:00 PM,06/01/2024 06:00:00 PM,804,2.900000,1,1,17031081800,17031070200,8,7,15.000000,0,5.490000,20.490000,false,false,1,41.893216,-87.637844,POINT (-87.6378442095 41.8932163595),41.929078,-87.646293,POINT (-87.6462934762 41.9290776551)
6262887,19e8cf046b07de59f221d3367b7c08e1e4dbca5a,06/06/2024 09:45:00 AM,06/06/2024 10:15:00 AM,1774,22.300000,0,0,,17031980000,,76,37.500000,9,20.280000,66.780000,false,false,1,,,,41.979071,-87.903040,POINT (-87.9030396611 41.9790708201)
4896932,5c836abe38c20acf9af76042dadfb6b9ed305524,06/11/2024 02:00:00 PM,06/11/2024 02:45:00 PM,2536,17.100000,1,1,17031980000,17031280100,76,28,37.500000,7,7.810000,52.310000,false,false,1,41.979071,-87.903040,POINT (-87.9030396611 41.9790708201),41.885300,-87.642808,POINT (-87.6428084655 41.8853000224)
2202972,abc1336c22af75e0582fc8c37d89618c5455ffd1,06/22/2024 12:15:00 PM,06/22/2024 12:30:00 PM,300,0.900000,1,1,17031839100,17031320100,32,32,25.000000,0,2.490000,27.490000,false,false,1,41.880994,-87.632746,POINT (-87.6327464887 41.8809944707),41.884987,-87.620993,POINT (-87.6209929134 41.8849871918)
4124825,b29fef732d3df19a74c4253383f7d3c28d1586d4,06/14/2024 06:30:00 PM,06/14/2024 06:45:00 PM,1032,2.800000,1,1,17031833000,17031320100,28,32,12.500000,0,7.340000,19.840000,false,false,1,41.885281,-87.657233,POINT (-87.6572331997 41.8852813201),41.884987,-87.620993,POINT (-87.6209929134 41.8849871918)
5704134,f87b6d3b2850a7a6466484fb5d791d58a3db54d5,06/08/2024 10:45:00 AM,06/08/2024 11:00:00 AM,782,1.000000,1,1,17031081402,17031081201,8,8,12.500000,0,1.230000,13.730000,false,false,1,41.891972,-87.612945,POINT (-87.6129454143 41.8919715078),41.899156,-87.626211,POINT (-87.6262105324 41.8991556134)
4838211,5cc624fcb45809bcf889e5cf6a99afde91880d03,06/11/2024 06:45:00 PM,06/11/2024 07:00:00 PM,1207,6.200000,1,1,,,71,65,12.500000,0,5.250000,17.750000,false,false,1,41.744205,-87.656306,POINT (-87.6563059862 41.7442051463),41.769778,-87.726930,POINT (-87.7269298425 41.7697780588)
2993752,60047f90da6ff5297ef8a1228581fa0f7008936e,06/19/2024 12:30:00 PM,06/19/2024 12:30:00 PM,440,1.400000,1,1,17031071500,17031081201,7,8,15.000000,0,4.450000,19.450000,false,false,1,41.914616,-87.631717,POINT (-87.6317173661 41.9146162864),41.899156,-87.626211,POINT (-87.6262105324 41.8991556134)
5836694,c75fe4afe15922a4ff27b201b25a9051f7eeb639,06/07/2024 09:30:00 PM,06/07/2024 10:00:00 PM,1863,10.600000,1,1,17031320400,17031031300,32,3,22.500000,0,6.490000,28.990000,false,false,1,41.877406,-87.621972,POINT (-87.6219716519 41.8774061234),41.972929,-87.650290,POINT (-87.6502900743 41.9729293173)
2081669,76be0cc376db2f5e771bcf901d0e0f5f9fa889d1,06/22/2024 07:00:00 PM,06/22/2024 07:15:00 PM,660,2.800000,1,1,17031832600,17031063200,7,6,10.000000,4,3.960000,17.960000,false,false,1,41.914747,-87.654007,POINT (-87.6540070286 41.9147473049),41.938391,-87.638575,POINT (-87.6385749205 41.9383912577)
1388294,180a34a09fee60e0d7264de6195a2d764e0cf17c,06/25/2024 03:45:00 PM,06/25/2024 04:00:00 PM,468,2.400000,1,1,17031470100,17031691400,47,69,7.500000,0,3.590000,11.090000,false,false,1,41.728182,-87.596476,POINT (-87.5964755956 41.7281820611),41.754846,-87.610169,POINT (-87.6101685859 41.7548461015)
5133918,77a8e4512492bd686c5bf3751790e1ef57b86801,06/10/2024 11:00:00 AM,06/10/2024 11:00:00 AM,748,3.800000,1,1,,,10,17,7.500000,0,2.190000,9.690000,false,false,1,41.985015,-87.804532,POINT (-87.8045320063 41.9850151008),41.946511,-87.806020,POINT (-87.8060200025 41.9465114202)
6018812,bd2c74abaa5f9bab6d48ad0e03da7fc462d1510d,06/07/2024 09:30:00 AM,06/07/2024 09:45:00 AM,1175,4.000000,1,1,17031050200,17031241500,5,24,10.000000,0,3.130000,13.130000,false,false,1,41.957736,-87.683718,POINT (-87.683718102 41.957735565),41.908379,-87.670945,POINT (-87.6709450752 41.9083786693)
566447,44547edbcc989da3bc719c141d4e084c9818768b,06/28/2024 10:15:00 PM,06/28/2024 10:15:00 PM,544,1.400000,1,1,17031081600,17031281900,8,28,7.500000,2,1.230000,10.730000,false,false,1,41.892073,-87.628874,POINT (-87.6288741572 41.8920726347),41.879255,-87.642649,POINT (-87.642648998 41.8792550844)
776647,1076c9e02ea33f0cd3ac6e732c183647426687c1,06/28/2024 08:15:00 AM,06/28/2024 08:45:00 AM,1236,9.200000,1,1,17031841900,17031420800,28,42,22.500000,0,1.230000,23.730000,false,false,1,41.867902,-87.642959,POINT (-87.6429586652 41.8679024175),41.776911,-87.603257,POINT (-87.6032571641 41.776910545)
